[Path1] new start x:53.973 y:49.7316 t:358.977
[Path1] new goal x:14.2965 y:48.1746 t:176.135
[Path1] 开始路径规划...
[Path1] A*搜索完成，用时: 0.0250331 秒
[Path1] Raw Path (x, y, heading_deg, drive):
  53.973, 49.7316, 358.977, 正向
  53.2672, 49.7026, 352.227, 倒车
  52.5628, 49.7567, 345.477, 倒车
  51.8697, 49.8933, 338.727, 倒车
  51.1974, 50.1104, 331.977, 倒车
  50.5553, 50.4051, 325.227, 倒车
  49.9523, 50.7731, 318.477, 倒车
  49.4519, 51.2718, 325.227, 倒车
  48.8963, 51.7081, 331.977, 倒车
  48.2933, 52.0762, 338.727, 倒车
  47.6513, 52.3708, 345.477, 倒车
  46.979, 52.5879, 352.227, 倒车
  46.2859, 52.7245, 358.977, 倒车
  45.5815, 52.7787, 5.72696, 倒车
  44.8757, 52.7497, 12.477, 倒车
  44.1781, 52.6379, 19.227, 倒车
  43.4985, 52.445, 25.977, 倒车
  42.8463, 52.1734, 32.727, 倒车
  42.2306, 51.8272, 39.477, 倒车
  41.6598, 51.4109, 46.227, 倒车
  41.1419, 50.9304, 52.977, 倒车
  40.684, 50.3924, 59.727, 倒车
  40.2926, 49.8044, 66.4769, 倒车
  39.973, 49.1743, 73.2269, 倒车
  39.7297, 48.5111, 79.9769, 倒车
  39.566, 47.8239, 86.7269, 倒车
  39.4842, 47.1222, 93.4769, 倒车
  39.4854, 46.4157, 100.227, 倒车
  39.4011, 47.1171, 106.977, 正向
  39.031, 48.0449, 116.526, 正向
  38.5121, 48.8983, 126.076, 正向
  37.8587, 49.6539, 135.625, 正向
  37.0891, 50.2906, 145.174, 正向
  36.2245, 50.7908, 154.723, 正向
  35.289, 51.1406, 164.273, 正向
  34.3083, 51.3304, 173.822, 正向
  33.3098, 51.3548, 183.371, 正向
  32.3197, 51.2202, 190.151, 正向
  31.3353, 51.0439, 190.151, 正向
  30.351, 50.8677, 190.151, 正向
  29.3666, 50.6914, 190.151, 正向
  28.3823, 50.5152, 190.151, 正向
  27.3979, 50.3389, 190.151, 正向
  26.4136, 50.1627, 190.151, 正向
  25.4292, 49.9864, 190.151, 正向
  24.4449, 49.8102, 190.151, 正向
  23.4606, 49.6339, 190.151, 正向
  22.4762, 49.4577, 190.151, 正向
  21.4919, 49.2814, 190.151, 正向
  20.5075, 49.1052, 190.151, 正向
  19.5232, 48.9289, 190.151, 正向
  18.5388, 48.7527, 190.151, 正向
  17.5545, 48.5764, 190.151, 正向
  16.5701, 48.4002, 190.151, 正向
  15.5854, 48.2265, 188.476, 正向
  14.5886, 48.162, 178.927, 正向
[Path1] Smoothed Path (x, y, heading_deg, drive):
  53.973, 49.7316, 358.977, 正向
  53.2672, 49.7026, 352.227, 倒车
  52.588, 49.8034, 345.477, 倒车
  51.929, 49.9921, 344.022, 倒车
  51.2859, 50.2487, 338.251, 倒车
  50.6544, 50.5524, 334.317, 倒车
  50.0299, 50.8816, 332.203, 倒车
  49.4079, 51.2142, 331.868, 倒车
  48.784, 51.5285, 333.262, 倒车
  48.1551, 51.8047, 336.286, 倒车
  47.5195, 52.0271, 340.715, 倒车
  46.8776, 52.1857, 346.119, 倒车
  46.2318, 52.2786, 351.815, 倒车
  45.5851, 52.3057, 357.604, 倒车
  44.9411, 52.2671, 3.43195, 倒车
  44.3041, 52.1629, 9.28787, 倒车
