[Path1] new start x:55.3204 y:63.7045 t:0
[Path1] new goal x:14.3211 y:34.1975 t:181.488
[Path1] 开始路径规划...
[Path1] A*搜索完成，用时: 0.0217728 秒
[Path1] Raw Path (x, y, heading_deg, drive):
  55.3204, 63.7045, 0, 正向
  54.6151, 63.6629, 353.25, 倒车
  53.9099, 63.7045, 346.5, 倒车
  53.2145, 63.8287, 339.75, 倒车
  52.5672, 64.1118, 346.5, 倒车
  51.8912, 64.3169, 353.25, 倒车
  51.1957, 64.4411, 1.00179e-05, 倒车
  50.4905, 64.4827, 6.75001, 倒车
  49.7853, 64.4411, 13.5, 倒车
  49.0899, 64.3169, 20.25, 倒车
  48.4138, 64.1118, 27, 倒车
  47.7666, 63.8287, 33.75, 倒车
  47.1571, 63.4715, 40.5, 倒车
  46.6479, 62.9819, 33.75, 倒车
  46.0846, 62.5555, 27, 倒车
  45.4751, 62.1983, 20.25, 倒车
  44.8279, 61.9152, 13.5, 倒车
  44.1518, 61.7101, 6.75001, 倒车
  43.4466, 61.6685, 13.5, 倒车
  42.7512, 61.5443, 20.25, 倒车
  42.0751, 61.3392, 27, 倒车
  41.4279, 61.0561, 33.75, 倒车
  40.8184, 60.6989, 40.5, 倒车
  40.2552, 60.2725, 47.25, 倒车
  39.7459, 59.7829, 54, 倒车
  39.2977, 59.2368, 60.75, 倒车
  38.9169, 58.6418, 67.5, 倒车
  38.6086, 58.0062, 74.25, 倒车
  38.3771, 57.3387, 81, 倒车
  38.2257, 56.6487, 87.75, 倒车
  38.1565, 55.9457, 94.5, 倒车
  38.1703, 55.2393, 101.25, 倒车
  38.2671, 54.5396, 108, 倒车
  38.4455, 53.856, 114.75, 倒车
  38.703, 53.1981, 121.5, 倒车
  39.036, 52.5751, 128.25, 倒车
  39.4399, 51.9955, 135, 倒车
  39.9092, 51.4675, 141.75, 倒车
  40.4373, 50.9982, 148.5, 倒车
  39.8577, 51.4021, 155.25, 正向
  38.919, 51.7434, 164.799, 正向
  37.9366, 51.9241, 174.349, 正向
  36.9379, 51.9394, 183.898, 正向
  35.9505, 51.7888, 193.447, 正向
  35.0017, 51.4765, 202.996, 正向
  34.1179, 51.0111, 212.546, 正向
